Biblioteca (câmpus);Cód. Tipo Obra;Descrição Tipo Obra;Acervo - Total Obras;Acervo - Total de Exemplares;Aquisições - Total Obras;Aquisições - Total de Exemplares;Ano
 Materiais on-line;1;Livros                        ;7;0;0;0;2015
 Materiais on-line;1;Livros                        ;13;0;6;0;2016
 Materiais on-line;1;Livros                        ;7626;0;7616;0;2017
 Materiais on-line;101;TFC (Trab.Final Curso Tecnico);23;0;22;0;2017
 Materiais on-line;26;Referência                    ;1;0;0;0;2015
 Materiais on-line;26;Referência                    ;1;0;0;0;2016
 Materiais on-line;26;Referência                    ;1;0;;;2017
 Materiais on-line;27;Relatórios                    ;3;0;3;0;2017
 Materiais on-line;4;Artigos                       ;1;0;0;0;2015
 Materiais on-line;4;Artigos                       ;1;0;0;0;2016
 Materiais on-line;4;Artigos                       ;3;0;;;2017
 Materiais on-line;6;Dissertações                  ;2;0;2;0;2016
 Materiais on-line;6;Dissertações                  ;2;0;;;2017
 Materiais on-line;7;TCC - Graduação               ;21;0;0;0;2015
 Materiais on-line;7;TCC - Graduação               ;27;0;6;0;2016
 Materiais on-line;7;TCC - Graduação               ;155;0;90;0;2017
 Materiais on-line;8;Livro eletrônico              ;119;0;0;0;2015
 Materiais on-line;8;Livro eletrônico              ;140;0;21;0;2016
 Materiais on-line;8;Livro eletrônico              ;158;0;16;0;2017
 Materiais on-line;9;Teses                         ;3;0;3;0;2017
Araraquara                              ;1;Livros                        ;899;4152;0;0;2015
Araraquara                              ;1;Livros                        ;1446;6704;638;2552;2016
Araraquara                              ;1;Livros                        ;1934;7538;518;865;2017
Araraquara                              ;13;Literatura                    ;1;1;1;1;2017
Araraquara                              ;15;Periódicos                    ;30;305;0;0;2015
Araraquara                              ;15;Periódicos                    ;39;322;10;17;2016
Araraquara                              ;15;Periódicos                    ;51;708;26;386;2017
Araraquara                              ;18;DVD                           ;2;2;0;0;2015
Araraquara                              ;18;DVD                           ;2;2;0;0;2016
Araraquara                              ;18;DVD                           ;2;2;;;2017
Araraquara                              ;26;Referência                    ;12;58;0;0;2015
Araraquara                              ;26;Referência                    ;13;85;2;27;2016
Araraquara                              ;26;Referência                    ;11;58;1;2;2017
Avaré                                   ;1;Livros                        ;1026;2693;0;0;2015
Avaré                                   ;1;Livros                        ;1028;2701;2;8;2016
Avaré                                   ;1;Livros                        ;1665;6088;681;3384;2017
Avaré                                   ;15;Periódicos                    ;13;46;0;0;2015
Avaré                                   ;15;Periódicos                    ;13;46;0;0;2016
Avaré                                   ;15;Periódicos                    ;13;46;;;2017
Avaré                                   ;18;DVD                           ;4;4;0;0;2015
Avaré                                   ;18;DVD                           ;4;4;0;0;2016
Avaré                                   ;18;DVD                           ;4;4;;;2017
Avaré                                   ;2;Folhetos                      ;1;3;1;3;2017
Avaré                                   ;24;CD-ROM                        ;3;8;0;0;2015
Avaré                                   ;24;CD-ROM                        ;3;8;0;0;2016
Avaré                                   ;24;CD-ROM                        ;2;6;;;2017
Avaré                                   ;25;CD                            ;28;50;0;0;2015
Avaré                                   ;25;CD                            ;28;50;0;0;2016
Avaré                                   ;25;CD                            ;28;50;;;2017
Avaré                                   ;26;Referência                    ;1;3;0;0;2015
Avaré                                   ;26;Referência                    ;1;3;0;0;2016
Avaré                                   ;26;Referência                    ;1;3;;;2017
Avaré                                   ;3;Catálogo                      ;10;39;0;0;2015
Avaré                                   ;3;Catálogo                      ;10;39;0;0;2016
Avaré                                   ;3;Catálogo                      ;12;46;2;7;2017
Barretos                                ;1;Livros                        ;694;3862;0;0;2015
Barretos                                ;1;Livros                        ;1067;6123;509;2261;2016
Barretos                                ;1;Livros                        ;1290;6719;264;606;2017
Barretos                                ;15;Periódicos                    ;1;1;0;0;2015
Barretos                                ;15;Periódicos                    ;1;1;0;0;2016
Barretos                                ;15;Periódicos                    ;2;9;1;8;2017
Barretos                                ;2;Folhetos                      ;2;6;0;0;2015
Barretos                                ;2;Folhetos                      ;2;6;0;0;2016
Barretos                                ;2;Folhetos                      ;2;6;;;2017
Barretos                                ;26;Referência                    ;10;68;0;0;2015
Barretos                                ;26;Referência                    ;11;75;2;7;2016
Barretos                                ;26;Referência                    ;19;117;11;43;2017
Barretos                                ;5;Apostila                      ;8;30;0;0;2015
Barretos                                ;5;Apostila                      ;8;30;0;0;2016
Barretos                                ;5;Apostila                      ;7;24;;;2017
Birigui                                 ;1;Livros                        ;2006;6556;0;0;2015
Birigui                                 ;1;Livros                        ;2427;7416;441;871;2016
Birigui                                 ;1;Livros                        ;2565;7676;145;270;2017
Birigui                                 ;10;TCCP - Pós-Graduação          ;1;1;1;1;2016
Birigui                                 ;10;TCCP - Pós-Graduação          ;1;1;;;2017
Birigui                                 ;101;TFC (Trab.Final Curso Tecnico);38;38;0;0;2015
Birigui                                 ;101;TFC (Trab.Final Curso Tecnico);48;48;10;10;2016
Birigui                                 ;101;TFC (Trab.Final Curso Tecnico);70;70;21;21;2017
Birigui                                 ;11;Gravação de som               ;1;1;1;1;2016
Birigui                                 ;11;Gravação de som               ;1;1;;;2017
Birigui                                 ;124;Fone de ouvido                ;1;7;0;0;2015
Birigui                                 ;124;Fone de ouvido                ;1;7;0;0;2016
Birigui                                 ;15;Periódicos                    ;41;686;0;0;2015
Birigui                                 ;15;Periódicos                    ;42;751;14;65;2016
Birigui                                 ;15;Periódicos                    ;44;807;13;56;2017
Birigui                                 ;16;Periódicos avulsos em bases se;1;6;0;0;2015
Birigui                                 ;16;Periódicos avulsos em bases se;1;7;1;1;2016
Birigui                                 ;16;Periódicos avulsos em bases se;1;7;;;2017
Birigui                                 ;18;DVD                           ;44;48;0;0;2015
Birigui                                 ;18;DVD                           ;48;52;4;4;2016
Birigui                                 ;18;DVD                           ;49;57;1;4;2017
Birigui                                 ;2;Folhetos                      ;74;142;0;0;2015
Birigui                                 ;2;Folhetos                      ;77;153;3;11;2016
